Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,139654,-,-,-,37.89,-122.26,0,159,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,Temperature,Alpha,Aerosol Optical Depth,Asymmetry,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Fill Flag,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,SSA,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm),,,,,,,,,,,,,,,,
2006,1,1,22,30,12.5,0.36,0.118,0.67,92,632,320,0,7,11.5,45,0,0,45,0.262,93.74,68.81,0.98,0.11,983,2.8,186,5.5,2.328,1.8053,,,,,,,,,,,,,,,,
2006,1,1,23,0,12.6,0.37,0.101,0.67,78,599,260,0,7,12.1,90,6,0,91,0.262,96.63,72.36,0.98,0.11,984,2.7,196,5,4.5588,3.5188,,,,,,,,,,,,,,,,
2006,1,1,23,30,12.6,0.37,0.101,0.67,68,514,189,0,6,12.1,24,0,0,24,0.264,96.63,76.38,0.97,0.11,984,2.5,205,4.6,1.1604,0.8895,,,,,,,,,,,,,,,,
2006,1,2,0,0,12.6,0.45,0.085,0.67,50,422,118,0,6,12.3,14,0,0,14,0.266,97.93,80.78,0.97,0.11,984,2.3,213,4.1,0,0,,,,,,,,,,,,,,,,
2006,1,2,0,30,12.3,0.45,0.085,0.67,30,221,48,7,6,12.3,8,0,7,8,0.268,99.87,85.48,0.96,0.11,984,2.2,217,3.7,0,0,,,,,,,,,,,,,,,,
2006,1,2,1,0,12.1,0.52,0.065,0.67,0,0,0,0,6,11.8,0,0,0,0,0.269,98.22,90.13,0.95,0.11,985,2.1,222,3.2,0,0,,,,,,,,,,,,,,,,
2006,1,2,1,30,11.8,0.52,0.065,0.67,0,0,0,0,8,11.8,0,0,0,0,0.27,100,95.99,0.95,0.11,985,2.1,220,3,0,0,,,,,,,,,,,,,,,,
2006,1,2,2,0,11.5,0.53,0.055,0.67,0,0,0,0,7,11.2,0,0,0,0,0.27,97.89,101.46,0.94,0.11,986,2.1,219,2.8,0,0,,,,,,,,,,,,,,,,
2006,1,2,2,30,11.2,0.53,0.055,0.67,0,0,0,0,6,11.2,0,0,0,0,0.269,99.85,107.08,0.94,0.11,986,2,215,2.7,0,0,,,,,,,,,,,,,,,,
2006,1,2,3,0,10.8,0.56,0.048,0.67,0,0,0,0,7,10.3,0,0,0,0,0.269,96.72,112.81,0.94,0.11,986,1.9,211,2.6,0,0,,,,,,,,,,,,,,,,
2006,1,2,3,30,10.6,0.56,0.048,0.67,0,0,0,0,7,10.3,0,0,0,0,0.269,98.11,118.64,0.94,0.11,987,1.9,215,2.4,0,0,,,,,,,,,,,,,,,,
2006,1,2,4,0,10.3,0.54,0.049,0.67,0,0,0,0,6,9.8,0,0,0,0,0.269,96.98,124.52,0.94,0.11,987,1.9,219,2.2,0,0,,,,,,,,,,,,,,,,
2006,1,2,4,30,10.2,0.54,0.049,0.67,0,0,0,0,6,9.8,0,0,0,0,0.271,97.63,130.44,0.94,0.11,987,1.9,211,2,0,0,,,,,,,,,,,,,,,,
